code,name,total_AI_score
000526,学大教育,0.48205937302329716
000528,柳    工,0.3364734057974837
000528,柳工,0.3016142121890107
000529,广弘控股,0.0185863355906646
000530,冰山冷热,0.046446855853060576
000530,大冷股份,0.03270965049413828
000531,穗恒运A,0.037622218794984945
000531,穗恒运Ａ,0.03658424705276601
000532,华金资本,0.0412426609832007
000533,万家乐,0.08253305495706091
000533,顺钠股份,0.053641047989770006
000534,万泽股份,0.029168767883106093
000536,华映科技,0.09081465121262378
000537,中绿电,0.05714197656851753
000537,广宇发展,0.19361169066578568
000538,云南白药,0.12573435422018306
000539,粤电力A,0.027329090022740882
000539,粤电力Ａ,0.04520649480899138
000540,中天金融,0.09205872405526376
000541,佛山照明,0.07271286901675247
000543,皖能电力,0.04670402583236565
000544,中原环保,0.4539434576172123
